Bought Condition,Colour,Current Condition,Drivetrain,Engine Size,Horse Power,Make,Mileage,Model,Number of Cylinders,Registered city,Seats,Selling Condition,Trim,Year of manufacture,detail_url,State,City,name,price
Imported,Silver,Foreign Used,,2500,,Toyota,234776,Camry,,,,Imported,,2013,/jEY4wdZMhfon4vL4lnSlpB98aRPVBrb?lid=F7e9ljcqlJxYsK9i,Oyo State, Ibadan,Toyota Camry 2013 Silver,"14,560,000"
Registered,Gray,Local Used,,1800,,Toyota,292008,Corolla,,,,Registered,,2005,/jEY4wdZIeve0WNBrxmEmLQPEbw6qyv0?lid=F7e9ljcqlJxYsK9i,Rivers State, Port-Harcourt,Toyota Corolla 2005 Gray,"6,760,000"
Imported,Black,Foreign Used,,3500,,Toyota,121631,RAV4,,,,Imported,,2010,/jEY4wdZa44wCEiXLuBgDzy776pHe3jU?lid=F7e9ljcqlJxYsK9i,Lagos State, Isolo,Toyota RAV4 2010 Black,"14,560,000"
Brand new,Gray,Local Used,,1500,,Nissan,216369,Almera,,Lagos,,Registered,,2014,/jEY4wdZz4Z8jHE5k1KgYMDUuEr9vzpd?lid=F7e9ljcqlJxYsK9i,Lagos State, Ogba,Nissan Almera 2014 Gray,"6,300,000"
Imported,Gold,Foreign Used,,3500,,Toyota,141331,Highlander,,,,Imported,,2014,/jEY4wdZZZKNgZLvBjpHwpOqv9oSugoa?lid=F7e9ljcqlJxYsK9i,Edo State, Benin City,Toyota Highlander 2014 Gold,"27,825,000"
Imported,Blue,Local Used,,5700,,Toyota,176032,Sequoia,,Lagos,,Registered,,2007,/jEY4wdZPkkBFPTODL4iqbELr6yHeylX?lid=-IeyNTcH7DkY-yCz,Lagos State, Yaba,Toyota Sequoia 2007 Blue,"9,975,000"
Registered,Gray,Local Used,Front Wheel,2800,,Hyundai,118323,Sonata,4,Lagos,,Registered,GLS Sedan FWD (2.4L 4cyl 6A),2011,/jEY4wdZiTVp4VfhcdxzEij4bLwMkUw6?lid=-IeyNTcH7DkY-yCz,Lagos State, Ikorodu,Hyundai Sonata GLS Sedan FWD (2.4L 4cyl 6A) 2011 Gray,"6,153,000"
Imported,Red,Foreign Used,,1600,,Mini,106309,Countryman,,,,Imported,,2012,/jEY4wdZxOhyDiG5yB55dft1piAh1gJ7?lid=-IeyNTcH7DkY-yCz,Lagos State, Magodo,Mini Countryman 2012 Red,"12,515,998"
Imported,Silver,Foreign Used,,3300,,Lexus,298669,ES,,,,Imported,,2005,/jEY4wdZmZej2Evw4RfLACskOXm5LNsn?lid=-IeyNTcH7DkY-yCz,Lagos State, Ojodu,Lexus ES 2005 Silver,"8,400,000"
Imported,Black,Foreign Used,,3500,,Lexus,68905,RX 350,,,,Imported,,2021,/jEY4wdZgQMIon1e1TNJAmeyJgDP2es7?lid=-IeyNTcH7DkY-yCz,Oyo State, Ibadan,Lexus RX 350 2021 Black,"57,750,000"
Imported,Blue,Foreign Used,,3500,,Mercedes-Benz,141309,GLE-Class,,,,Imported,,2016,/jEY4wdZQlgFjm0jDLPjnwe4iaUMfP2y?lid=-IeyNTcH7DkY-yCz,Oyo State, Ibadan,Mercedes-Benz GLE-Class 2016 Blue,"43,680,000"
Registered,Blue,Local Used,,3000,,Honda,,Accord,,Lagos,,Registered,,2003,/jEY4wdZUbFF9TWvxBZos3ZH9ZwogTuC?lid=-IeyNTcH7DkY-yCz,Rivers State, Port-Harcourt,Honda Accord 2003 Blue,"2,415,000"
Imported,Black,Foreign Used,,3500,,Toyota,124604,Highlander,,,,Imported,,2019,/jEY4wdZcQVyuJ0fAr008uC8syVkPXPk?lid=-IeyNTcH7DkY-yCz,Lagos State, Yaba,Toyota Highlander 2019 Black,"35,700,000"
Imported,Red,Local Used,,3500,,Lexus,88621,ES,,,,Registered,,2008,/jEY4wdZFS5HJdewPI444n4ng4Xr5NE0?lid=-IeyNTcH7DkY-yCz,Lagos State, Lekki,Lexus ES 2008 Red,"6,300,000"
Imported,White,Foreign Used,,1000,,Kia,62632,Morning,,,,Imported,,2013,/jEY4we01oSRCeJOBtWaTH2ocGzcUO2I?lid=-IeyNTcH7DkY-yCz,Lagos State, Ikorodu,Kia Morning 2013 White,"7,245,000"
Imported,Black,Local Used,,3500,,Toyota,471580,RAV4,,Lagos,,Registered,,2009,/jEY4wdZEuzKnd9cdLf3Tb6gDfZYV1rz?lid=-IeyNTcH7DkY-yCz,Ogun State, Abeokuta North,Toyota RAV4 2009 Black,"6,195,000"
Imported,White,Local Used,,3000,,Lexus,287579,RX 300,,Lagos,,Registered,,2001,/jEY4wdZt1uqnuQePzfKMlAgnmqaKSKd?lid=-IeyNTcH7DkY-yCz,Lagos State, Ikeja,Lexus RX 300 2001 White,"5,250,000"
Registered,Black,Local Used,,2400,,Acura,396948,TSX,,Ondo State,,Registered,,2012,/jEY4wdZrLzw98e2lmTjzC0lHqUKu6R8?lid=-IeyNTcH7DkY-yCz,Lagos State, Alimosho,Acura TSX 2012 Black,"5,250,000"
Registered,Gray,Local Used,,,,Toyota,177780,Corolla,,,,Registered,,2003,/jEY4wdZUk1yUIhzzmFmwHgijV1ic54B?lid=-IeyNTcH7DkY-yCz,Lagos State, Alimosho,Toyota Corolla 2003 Gray,"4,410,000"
Registered,Blue,Local Used,,2400,,Honda,297365,Accord,,Abuja,,Registered,,2007,/jEY4wdZLMVwYiN9vZU3FZyr4JWIgrBF?lid=-IeyNTcH7DkY-yCz,Abuja (FCT), Gwarinpa,Honda Accord 2007 Blue,"4,160,000"
Imported,Silver,Local Used,,3500,,Mercedes-Benz,223116,E350,,Enugu,,Registered,,2012,/jEY4wdZPPzlGwZUCy1BvMP9qnicdJo0?lid=NqVfyuZGkZ8cwCZ-,Enugu State, Enugu,Mercedes-Benz E350 2012 Silver,"7,350,000"
Registered,White,Local Used,,2500,,Toyota,258390,Camry,,Lagos,,Registered,,2010,/jEY4we00OSOeuSMs35k4nKaJM4xp019?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Ikeja,Toyota Camry 2010 White,"6,825,000"
Imported,Silver,Local Used,,1800,,Toyota,184618,Corolla,,Lagos,,Registered,,2005,/jEY4wdZxqlKmnscLpNBviyTrZBgRqEk?lid=NqVfyuZGkZ8cwCZ-,Oyo State, Ibadan,Toyota Corolla 2005 Silver,"5,408,000"
Registered,Black,Local Used,,3300,,Lexus,238050,ES,,Abuja,,Registered,,2006,/jlCs49Q6xOgIdeiOfXwuqrwgMYAI2d?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Alimosho,Lexus ES 2006 Black,"5,292,000"
Imported,Blue,Local Used,,2400,,Toyota,148530,Camry,,,,Registered,,2011,/jEY4wdZyf228gtQr2tT15NUxga5yTfO?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Mushin,Toyota Camry 2011 Blue,"6,405,000"
Imported,Red,Local Used,,3000,,Toyota,215737,Sienna,,,,Registered,,1999,/jlCs49Q9qnRSFmsrLIKp7OE2wmYS42?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Lekki,Toyota Sienna 1999 Red,"3,120,000"
Imported,Black,Foreign Used,,1800,,Toyota,133696,Corolla,,,,Imported,,2011,/jEY4wdZWujonfn9RdcVfyDOwONvhD0h?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Kosofe,Toyota Corolla 2011 Black,"13,000,000"
Registered,Black,Local Used,,4500,,Toyota,,Land Cruiser,,Lagos,,Registered,,2007,/jEY4wdZcgW8Vipll4PslYLQSpgYgt7K?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Ilupeju,Toyota Land Cruiser 2007 Black,"20,800,000"
Imported,Blue,Local Used,,3500,,Ford,114998,Explorer,,,,Registered,,2016,/jEY4wdZZG2nys7pDorflftVGqSL4q8i?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Lekki,Ford Explorer 2016 Blue,"13,500,000"
Registered,Blue,Local Used,,3000,,Hyundai,185231,Santa Fe,,,,Registered,,2008,/jEY4wdZFv6rUbQkhJpN5NQ0OaLA1hci?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Ikorodu,Hyundai Santa Fe 2008 Blue,"4,200,000"
Imported,Blue,Foreign Used,,1800,,Toyota,279820,Corolla,,,,Imported,,2005,/jEY4wdZqRG3JsjgmBx0bt41n8M7L1cA?lid=NqVfyuZGkZ8cwCZ-,Delta State, Warri,Toyota Corolla 2005 Blue,"9,880,000"
Registered,Gray,Local Used,Front,2400,158,Toyota,108152,Camry,4,Rivers,5,Registered,LE 4dr Sedan (2.4L 4cyl 5A),2007,/jEY4wdZOpB465phd0aGQC4N5U2DwYq9?lid=NqVfyuZGkZ8cwCZ-,Rivers State, Port-Harcourt,Toyota Camry LE 4dr Sedan (2.4L 4cyl 5A) 2007 Gray,"6,930,000"
Registered,Blue,Local Used,,3000,,Lexus,193542,RX 330,,,,Registered,,2003,/jEY4wdZf5vdkoYbjXdkpmh4hd9Q6W3Y?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Ikeja,Lexus RX 330 2003 Blue,"5,775,000"
Imported,White,Local Used,,3000,,Toyota,240107,Sienna,,Rivers,,Registered,,2001,/jEY4wdZB9BuzKEDmvAef5o61POFhXb5?lid=NqVfyuZGkZ8cwCZ-,Rivers State, Port-Harcourt,Toyota Sienna 2001 White,"4,680,000"
Registered,Gold,Local Used,,2400,,Toyota,105587,Camry,,,,Registered,,2005,/jEY4wdZJ3yC6o1QLqJw23xyuXgT330g?lid=NqVfyuZGkZ8cwCZ-,Lagos State, Ikorodu,Toyota Camry 2005 Gold,"4,410,000"
Registered,Black,Local Used,,3500,,Toyota,117579,Venza,,,,Registered,,2010,/jEY4wdZSJTkLZcGm2cLc5PkAdXbJODJ?lid=cBTna4Ab2HoKfbeM,Abuja (FCT), Wuse,Toyota Venza 2010 Black,"12,688,000"
Brand new,Black,Local Used,,1500,,Honda,45167,CR-V,,Lagos,,Registered,,2018,/jEY4wdZtdpIStbUVKe6FMIjR5B6HHuu?lid=cBTna4Ab2HoKfbeM,Lagos State, Ikeja,Honda CR-V 2018 Black,"26,000,000"
Registered,White,Local Used,,2400,,Honda,81797,Accord Crosstour,,,,Registered,,2015,/jEY4wdZZRFx5OptVXgqzusnxC4yo8t3?lid=cBTna4Ab2HoKfbeM,Lagos State, Amuwo-Odofin,Honda Accord Crosstour 2015 White,"11,250,000"
Imported,Silver,Local Used,,1800,,Toyota,243022,Corolla,,Abuja,,Registered,,2005,/jEY4wdZJ4X93ZTaFifPSNzS5GcQNasC?lid=cBTna4Ab2HoKfbeM,Abuja (FCT), Lugbe District,Toyota Corolla 2005 Silver,"4,620,000"
Registered,Black,Local Used,,3500,,Ford,92190,Explorer,,Lagos,,Registered,,2015,/jEY4wdZadozRtWIHskCh9vZNw74WGjQ?lid=cBTna4Ab2HoKfbeM,Lagos State, Alimosho,Ford Explorer 2015 Black,"7,560,000"
Imported,Silver,Foreign Used,Front Wheel,3500,266,Toyota,445511,Sienna,6,,7,Imported,CE FWD,2007,/jEY4wdZZlaOqOywVY29C5ioDP692DN8?lid=cBTna4Ab2HoKfbeM,Imo State, Owerri,Toyota Sienna CE FWD 2007 Silver,"9,505,125"
Registered,White,Local Used,All Wheel,2500,180,Mitsubishi,33865,L200,4,Rivers State,2,Registered,Single Cab 2.5 TD 4WD,2010,/jEY4wdZn02GTcxElWph4IRicj8x6GvD?lid=cBTna4Ab2HoKfbeM,Rivers State, Port-Harcourt,Mitsubishi L200 Single Cab 2.5 TD 4WD 2010 White,"12,600,000"
Imported,Gray,Foreign Used,,3500,,Acura,194652,RDX,,,,Imported,,2014,/jEY4wdZQMtT2XYXjP6bf2fiWIGiDceI?lid=cBTna4Ab2HoKfbeM,Lagos State, Ilupeju,Acura RDX 2014 Gray,"14,700,000"
Imported,Black,Local Used,,1800,,Toyota,269808,Matrix,,Lagos,,Registered,,2003,/jEY4wdZnjNMfZz4sgrEREVZjIA8ZJZT?lid=cBTna4Ab2HoKfbeM,Lagos State, Ogudu,Toyota Matrix 2003 Black,"3,990,000"
Imported,Silver,Foreign Used,,3300,,Lexus,298669,ES,,,,Imported,,2005,/jEY4wdZmZej2Evw4RfLACskOXm5LNsn?lid=cBTna4Ab2HoKfbeM,Lagos State, Ojodu,Lexus ES 2005 Silver,"8,400,000"
Imported,Black,Foreign Used,,1800,,Hyundai,90970,Elantra,,,,Imported,,2015,/jEY4wdZy6f22do1V6FwPiGpKN7hdQnY?lid=cBTna4Ab2HoKfbeM,Lagos State, Ogba,Hyundai Elantra 2015 Black,"12,316,500"
Imported,Blue,Foreign Used,,2000,,Peugeot,186595,307,,,,Imported,,2004,/jEY4wdZpTjwPaBUOsHjRIwHPTrZtxk1?lid=cBTna4Ab2HoKfbeM,Edo State, Benin City,Peugeot 307 2004 Blue,"8,400,000"
Imported,Black,Foreign Used,,5700,,Toyota,136243,Sequoia,,,,Imported,,2015,/jEY4wdZQfJF3uoPkL07Y8wljvhfQyVj?lid=cBTna4Ab2HoKfbeM,Lagos State, Amuwo-Odofin,Toyota Sequoia 2015 Black,"29,190,000"
Imported,Blue,Local Used,,3500,,Lexus,333524,RX 350,,Lagos,,Registered,,2010,/jEY4wdZOjRrJD2Nhu2sxGeuJuawuTMh?lid=cBTna4Ab2HoKfbeM,Abia State, Aba North,Lexus RX 350 2010 Blue,"17,680,000"
Registered,Gray,Local Used,,3300,,Lexus,153769,RX 300,,Akw,,Registered,,2002,/jEY4wdZ9qAOCS3GQuQ8LYdVaYhfGq6g?lid=cBTna4Ab2HoKfbeM,Akwa Ibom State, Uyo,Lexus RX 300 2002 Gray,"3,255,000"
Registered,Gray,Local Used,,1800,,Toyota,232741,Corolla,,,,Registered,,2015,/jEY4wdZQjpUfNsnOMXR8NaAZB4BVrCm?lid=2pNZeevWQ68kNFSt,Abuja (FCT), Kubwa,Toyota Corolla 2015 Gray,"11,440,000"
Imported,Black,Local Used,,2400,,Toyota,382749,Venza,,Lagos,,Registered,,2010,/jEY4wdZZ0NIXWKjdnCXTqYQVRN1Fvaz?lid=2pNZeevWQ68kNFSt,Lagos State, Surulere,Toyota Venza 2010 Black,"11,287,500"
Brand new,Gray,Local Used,,1800,,Toyota,231550,Corolla,,Lagos,,Registered,,2014,/jEY4wdZSZVvG4XazTEir1WvuLjQVZBl?lid=2pNZeevWQ68kNFSt,Ogun State, Abeokuta North,Toyota Corolla 2014 Gray,"13,650,000"
Imported,Orange,Local Used,,3500,,Ford,139662,Edge,,,,Registered,,2008,/jEY4wdZwYGHFUobamxkjyspEgOdPUou?lid=2pNZeevWQ68kNFSt,Lagos State, Kosofe,Ford Edge 2008 Orange,"4,095,000"
Imported,Black,Local Used,All Wheel,3500,270,Toyota,284336,Highlander,6,,7,Registered,Limited 4dr SUV AWD (3.5L 6cyl 6A),2015,/jEY4wdZgWFU96S4ThUcKlanB97qMZol?lid=2pNZeevWQ68kNFSt,Lagos State, Lekki,Toyota Highlander Limited 4dr SUV AWD (3.5L 6cyl 6A) 2015 Black,"24,960,000"
Imported,White,Foreign Used,,1800,,Toyota,223633,Corolla,,,,Imported,,2015,/jEY4wdZPj9HPv498Lqn1CMkZtww8rlE?lid=2pNZeevWQ68kNFSt,Abuja (FCT), Jabi,Toyota Corolla 2015 White,"17,325,000"
Imported,Blue,Foreign Used,,3500,,Toyota,161822,Sienna,,,,Imported,,2013,/jEY4wdZmYKVh76hAAJKy1gv24ROmB4S?lid=2pNZeevWQ68kNFSt,Lagos State, Surulere,Toyota Sienna 2013 Blue,"13,650,000"
Registered,Black,Local Used,,2300,,Acura,213888,RDX,,Lagos,,Registered,,2008,/jEY4wdZXrkpgSNX05GH4FXR8xuHUyDj?lid=2pNZeevWQ68kNFSt,Lagos State, Ilupeju,Acura RDX 2008 Black,"4,725,000"
Registered,Blue,Local Used,,3800,,Kia,313116,Sedona,,,,Registered,,2008,/jEY4wdZAQFgKbnOnnA9oYQtROv4wK4P?lid=2pNZeevWQ68kNFSt,Lagos State, Alimosho,Kia Sedona 2008 Blue,"4,725,000"
Registered,Red,Local Used,,3500,,Toyota,111986,Camry,,Lagos,,Registered,,2008,/jEY4wdZFNP74qJSssnzPdqOBbDVmala?lid=2pNZeevWQ68kNFSt,Rivers State, Port-Harcourt,Toyota Camry 2008 Red,"4,515,000"
Imported,Blue,Foreign Used,,3500,,Lexus,66545,RX 350,,,,Imported,,2018,/jEY4wdZJu5uOmcvMRsmzBwBqYmxDBAF?lid=2pNZeevWQ68kNFSt,Edo State, Benin City,Lexus RX 350 2018 Blue,"48,300,000"
Imported,Silver,Foreign Used,,2500,,Toyota,243132,Camry,,,,Imported,,2012,/jEY4wdZQlF63JW7o2HXQoUqonIohr4B?lid=2pNZeevWQ68kNFSt,Oyo State, Ibadan,Toyota Camry 2012 Silver,"12,600,000"
Registered,White,Local Used,,2000,,Mitsubishi,198402,Canter,,Enugu,,Registered,,2003,/jEY4wdZrFQxTZ7cvukuyMPvd4F8PSGR?lid=2pNZeevWQ68kNFSt,Enugu State, Enugu,Mitsubishi Canter 2003 White,"6,510,000"
Brand new,Black,Local Used,,2700,,Toyota,195092,Fortuner,,,,Registered,,2010,/jEY4wdZJnMS2G3mKYoqEpILl2dzMKBj?lid=2pNZeevWQ68kNFSt,Lagos State, Ikoyi,Toyota Fortuner 2010 Black,"15,750,000"
Imported,Silver,Foreign Used,Front Wheel,2400,,Hyundai,262406,Sonata,4,,,Imported,Base Sedan FWD (2.4L 4cyl 6A),2017,/jEY4wdZKMZwRIKAtejOZfIqbKPFgqMt?lid=2pNZeevWQ68kNFSt,Rivers State, Port-Harcourt,Hyundai Sonata Base Sedan FWD (2.4L 4cyl 6A) 2017 Silver,"15,540,000"
Imported,Silver,Local Used,,2400,,Toyota,146393,RAV4,,,,Registered,,2011,/jEY4wdZmYKYOG3bXb89W4yeMiFOc1jY?lid=7BqZhuYTQBXh8IrP,Lagos State, Ikoyi,Toyota RAV4 2011 Silver,"8,400,000"
Imported,Gray,Local Used,,1800,,Toyota,302534,Corolla,,Lagos,,Registered,,2013,/jEY4wdZMBog6O6UZAzElbzjzPrhGrZf?lid=7BqZhuYTQBXh8IrP,Oyo State, Ibadan,Toyota Corolla 2013 Gray,"9,880,000"
Registered,Black,Local Used,All Wheel,3000,228,Mercedes-Benz,300722,C300,6,Abuja,5,Registered,Luxury 4Matic Sedan AWD (3.0L 6cyl 7A),2011,/jEY4wdZLDWBpkPljzLvHckdKX0gcA8d?lid=7BqZhuYTQBXh8IrP,Abuja (FCT), Lugbe District,Mercedes-Benz C300 Luxury 4Matic Sedan AWD (3.0L 6cyl 7A) 2011 Black,"11,960,000"
Registered,Gold,Foreign Used,,1800,,Toyota,309717,Corolla,,,,Imported,,2003,/jEY4wdZd039Ip0Wkm1UawyEZlG495eH?lid=7BqZhuYTQBXh8IrP,Oyo State, Ibadan,Toyota Corolla 2003 Gold,"5,250,000"
Registered,Blue,Local Used,,2400,,Honda,202132,Accord,,,,Registered,,2004,/jEY4wdZx6dmp5NnMsYkorVPe9IyOz1O?lid=7BqZhuYTQBXh8IrP,Lagos State, Ikorodu,Honda Accord 2004 Blue,"4,680,000"
Imported,Black,Foreign Used,,2000,,Kia,7041,Sportage,,,,Imported,,2023,/jEY4wdZFX1FVGmki6JHb97QCuaUgC7b?lid=7BqZhuYTQBXh8IrP,Lagos State, Amuwo-Odofin,Kia Sportage 2023 Black,"57,750,000"
Imported,Black,Local Used,,4600,,Mercedes-Benz,216564,GL-Class,,Lagos,,Registered,,2013,/jEY4wdZJcPEoUqB97GTwpeTrTlourbl?lid=7BqZhuYTQBXh8IrP,Lagos State, Ogudu,Mercedes-Benz GL-Class 2013 Black,"23,920,000"
Registered,White,Local Used,,3500,,Lexus,312551,ES,,Abuja,,Registered,,2010,/jEY4wdZfvvTq4YqOjVBiLBbIbvYKDMp?lid=7BqZhuYTQBXh8IrP,Delta State, Oshimili South,Lexus ES 2010 White,"7,875,000"
Registered,Red,Local Used,,1800,,Nissan,173574,Sentra,,Oyo,,Registered,,2013,/jEY4wdZg7WMtd2tJKlYxyHNEq4brXo1?lid=7BqZhuYTQBXh8IrP,Lagos State, Ogudu,Nissan Sentra 2013 Red,"4,889,850"
Registered,Black,Local Used,,2400,,Kia,122547,Optima,,Lagos,,Registered,,2015,/jEY4wdZkUhqiFB2Yhiqx9pGdYwhLPrD?lid=7BqZhuYTQBXh8IrP,Lagos State, Yaba,Kia Optima 2015 Black,"6,700,000"
Imported,Silver,Foreign Used,Front,2500,178,Toyota,191632,Camry,4,,5,Imported,XLE 4dr Sedan (2.5L 4cyl 6A),2013,/jEY4wdZFXAeLt4wU0iksMARZmhe0A8R?lid=7BqZhuYTQBXh8IrP,Lagos State, Lekki,Toyota Camry XLE 4dr Sedan (2.5L 4cyl 6A) 2013 Silver,"15,225,000"
Imported,Gold,Local Used,,3700,,Acura,,MDX,,Lagos,,Registered,,2007,/jEY4wdZJnmhylqQsiwLltfQ7ZpvOtTh?lid=7BqZhuYTQBXh8IrP,Rivers State, Port-Harcourt,Acura MDX 2007 Gold,"8,840,000"
Imported,Purple,Foreign Used,,2500,,Toyota,143541,Camry,,,,Imported,,2022,/jEY4wdZc9MyKCGLkjQ0Tok5gCLC7cjy?lid=7BqZhuYTQBXh8IrP,Abuja (FCT), Wuse,Toyota Camry 2022 Purple,"42,640,000"
Imported,Black,Local Used,,2700,,Toyota,248155,Land Cruiser Prado,,,,Registered,,2014,/jEY4wdZxMwTBiH8S3CIiJasS83AjXM3?lid=7BqZhuYTQBXh8IrP,Lagos State, Ajah,Toyota Land Cruiser Prado 2014 Black,"36,750,000"
Imported,Gray,Local Used,,3800,,Hyundai,542659,Veracruz,,Lagos,,Registered,,2008,/jEY4wdZPWW6x0tXCU96S7ZwBHdf7MQb?lid=7BqZhuYTQBXh8IrP,Ogun State, Abeokuta North,Hyundai Veracruz 2008 Gray,"9,450,000"
Imported,Black,Foreign Used,,3500,,Toyota,163085,Venza,,,,Imported,,2011,/jEY4wdZcs2SBbNWbp40O5WxmQvrSKtf?lid=28D-RBBmHOX-KhW7,Lagos State, Surulere,Toyota Venza 2011 Black,"19,240,000"
Imported,Blue,Foreign Used,,1600,,Hyundai,147893,Sonata,,,,Imported,,2021,/jEY4wdZJ5H22BZoaak7tIhrZmDSzO81?lid=28D-RBBmHOX-KhW7,Abuja (FCT), Gwarinpa,Hyundai Sonata 2021 Blue,"37,800,000"
Registered,Green,Local Used,,2400,,Toyota,177286,Camry,,Lagos,,Registered,,2007,/jEY4wdZj3mQVn8vSRTac8wZcXNjnNqr?lid=28D-RBBmHOX-KhW7,Lagos State, Ikeja,Toyota Camry 2007 Green,"6,503,333"
Registered,Black,Local Used,,3500,,Ford,243019,Edge,,Lagos,,Registered,,2009,/jEY4wdZQ7LHxjKfa7LRdIP8Ce226eRh?lid=28D-RBBmHOX-KhW7,Lagos State, Yaba,Ford Edge 2009 Black,"3,990,000"
Registered,Black,Local Used,,2400,,Hyundai,131558,Sonata,,Lagos,,Registered,,2011,/jEY4wdZXhHyUfvz7JYq5PCymllGqSRz?lid=28D-RBBmHOX-KhW7,Abuja (FCT), Jabi,Hyundai Sonata 2011 Black,"7,800,000"
Imported,Silver,Local Used,,2500,,Toyota,288427,Camry,,,,Registered,,2012,/jEY4wdZW8Zlw2RqqwGZmglZPvrYVynL?lid=28D-RBBmHOX-KhW7,Lagos State, Ajah,Toyota Camry 2012 Silver,"9,240,000"
Imported,Black,Local Used,,2500,,Toyota,112899,RAV4,,Edo,,Registered,,2010,/jEY4wdZHjnZ00tp3FKqaN6vga4IClLa?lid=28D-RBBmHOX-KhW7,Edo State, Benin City,Toyota RAV4 2010 Black,"9,360,000"
Registered,Red,Local Used,,2400,,Toyota,316888,Camry,,Lagos,,Registered,,2005,/jEY4wdZz2FJYL0jbFuRE7gcuJKvpxFp?lid=28D-RBBmHOX-KhW7,Lagos State, Ojodu,Toyota Camry 2005 Red,"6,032,000"
Imported,Black,Local Used,Front Wheel,3500,268,Toyota,483823,Avalon,6,,5,Registered,Limited,2006,/jEY4wdZh8nDiFB35paFcHCpVV2s5Mgw?lid=28D-RBBmHOX-KhW7,Lagos State, Lekki,Toyota Avalon Limited 2006 Black,"3,989,998"
Registered,Gold,Local Used,Front Wheel,3300,230,Toyota,38179,Sienna,6,Rivers State,7,Registered,CE FWD (3.3L V6 5A),2004,/jEY4wdZXWcXv3CR9RoSdEggmkNCyg9W?lid=28D-RBBmHOX-KhW7,Rivers State, Port-Harcourt,Toyota Sienna CE FWD (3.3L V6 5A) 2004 Gold,"7,800,000"
Imported,Black,Foreign Used,,1800,,Toyota,246766,Corolla,,,,Imported,,2015,/jEY4wdZQDAW1fBweKRcpvf0JRn51Ia2?lid=28D-RBBmHOX-KhW7,Lagos State, Ojodu,Toyota Corolla 2015 Black,"14,175,000"
Imported,Black,Foreign Used,,1800,,Toyota,308507,Matrix,,,,Imported,,2014,/jEY4wdZDJh7gv1hhjoOSsX9nQy9WevH?lid=28D-RBBmHOX-KhW7,Lagos State, Mushin,Toyota Matrix 2014 Black,"12,600,000"
Registered,Silver,Local Used,,1800,,Toyota,144451,RAV4,,Edo,,Registered,,2003,/jEY4wdZTSGQzfu3aDWAkQYypYag6fZH?lid=28D-RBBmHOX-KhW7,Edo State, Benin City,Toyota RAV4 2003 Silver,"2,940,000"
Imported,Blue,Foreign Used,Front,1800,132,Toyota,331131,Corolla,4,,5,Imported,S 4dr Sedan (1.8L 4cyl 4A),2010,/jEY4wdZrcjwN635G8AEtPKLQ9oWWoWU?lid=28D-RBBmHOX-KhW7,Delta State, Warri,Toyota Corolla S 4dr Sedan (1.8L 4cyl 4A) 2010 Blue,"14,040,000"
Imported,Silver,Foreign Used,,2500,,Nissan,217909,Rogue,,,,Imported,,2012,/jEY4wdZW6TcxibIEfutvYJgHkVSUui7?lid=28D-RBBmHOX-KhW7,Lagos State, Ikeja,Nissan Rogue 2012 Silver,"12,480,000"
Imported,Gray,Local Used,,2500,,Toyota,136840,Camry,,Lagos,,Registered,,2010,/jEY4wdZm8WoCwjThzeEkhmlKrV4yYHg?lid=muf_UU-FwmtL-xwB,Lagos State, Alimosho,Toyota Camry 2010 Gray,"8,320,000"
Registered,Green,Local Used,,3500,,Honda,265157,Pilot,,Lagos,,Registered,,2005,/jEY4wdZKRgC9usqkQ1uWa8u1Kl5eNlz?lid=muf_UU-FwmtL-xwB,Enugu State, Enugu,Honda Pilot 2005 Green,"2,310,000"
Imported,Burgandy,Local Used,,1600,,Kia,110854,Cerato,,Lagos,,Registered,,2010,/jlCs49PGmy9nE4v656LOklDiGls2Cu?lid=muf_UU-FwmtL-xwB,Lagos State, Ajah,Kia Cerato 2010 Burgandy,"3,885,000"
Imported,Black,Local Used,,2400,,Honda,112898,Accord,,,,Registered,,2015,/jEY4wdZBMr1p6ryBZVimvK0pYOvq44M?lid=muf_UU-FwmtL-xwB,Lagos State, Lekki,Honda Accord 2015 Black,"9,240,000"
Imported,Blue,Local Used,,1800,,Nissan,211056,Sunny,,,,Registered,,2005,/jEY4wdZ9mEBU1pMPnO3kO7hEPWUnWTk?lid=muf_UU-FwmtL-xwB,Abuja (FCT), Jabi,Nissan Sunny 2005 Blue,"4,200,000"
Imported,Gray,Foreign Used,,2000,,Hyundai,174911,Sonata,,,,Imported,,2013,/jEY4we00NqFU7ZbKmCrogcCskfUGUcv?lid=muf_UU-FwmtL-xwB,Lagos State, Ojodu,Hyundai Sonata 2013 Gray,"10,710,000"
Imported,Red,Local Used,,,,Kia,175346,Carens,,Lagos,,Registered,,2003,/jEY4wdZTwHVPnWHgHRM9eu6BsWQp121?lid=muf_UU-FwmtL-xwB,Lagos State, Alimosho,Kia Carens 2003 Red,"2,940,000"
